species	state
828	Cleistocactus_laniceps	0
829	Espostoa_guentheri	0
830	Samaipaticereus_corroanus	0
831	Borzicactus_samaipatanus	0
832	Yungasocereus_inquisivensis	0
833	Eulychnia_coquimbana	0
834	Arthrocereus_glaziovii	0
835	Gymnocalycium_saglionis	0
836	Haageocereus_decumbens	0
837	Pygmaeocereus_bylesianus	0
838	Oreocereus_trollii	0
839	Mila_caespitosa	0
840	Matucana_aurantiaca	0
841	Oroya_peruviana	0
842	Rauhocereus_riosaniensis	0
843	Espostoopsis_dybowskii	0
844	Acanthocalycium_leucanthum	0
845	Aylostera_deminuta	0
846	Rebutia_minuscula	0
847	Weingartia_margarethae	0
848	Pilosocereus_royenii	0
849	Discocactus_zehntneri	0
850	Cereus_hankeanus	0
851	Cipocereus_minensis	0
852	Praecereus_saxicola	0
853	Melocactus_zehntneri	0
854	Arrojadoa_rhodantha	0
855	Coleocephalocereus_fluminensis	0
856	Brasilicereus_markgrafii	0
857	Stetsonia_coryne	0
858	Browningia_chlorocarpa	0
859	Uebelmannia_pectinifera	0
860	Facheiroa_ulei	0
861	Leocereus_bahiensis	0
862	Lasiocereus_rupicola	0
863	Eriosyce_curvispina	0
864	Parodia_magnifica	0
865	Neowerdermannia_vorwerkii	0
866	Frailea_pumila	0
867	Copiapoa_solaris	0
868	Echinocereus_nicholii	0
869	Stenocereus_eruca	0
870	Escontria_chiotilla	0
871	Myrtillocactus_schenckii	0
872	Polaskia_chende	0
